Group,filopodia,thin,longthin,mushroom,stubby,bifurcated,motile,stable,total,GABAARs,Developmental Stage,Sex
L5-KO35-M,1,11,3,2,3,1,15,6,21,No,Pubertal,Male
L5-KO35-M,0,4,2,2,3,0,6,5,11,No,Pubertal,Male
L5-KO35-M,0,10,1,1,2,0,11,3,14,No,Pubertal,Male
L5-KO35-M,0,6,4,5,1,1,10,7,17,No,Pubertal,Male
L5-KO35-M,0,2,1,7,0,0,3,7,10,No,Pubertal,Male
L5-KO35-M,0,3,4,2,0,0,7,2,9,No,Pubertal,Male
L5-KO35-M,0,5,2,0,0,1,7,1,8,No,Pubertal,Male
L5-KO35-M,0,3,5,1,2,0,8,3,11,No,Pubertal,Male
L5-KO35-M,4,7,0,0,0,5,11,5,16,No,Pubertal,Male
L5-KO35-M,2,0,5,1,0,6,7,7,14,No,Pubertal,Male
L5-KO35-M,4,3,1,0,0,9,8,9,17,No,Pubertal,Male
L5-KO35-M,3,2,0,1,1,11,5,13,18,No,Pubertal,Male
L5-KO35-M,2,2,1,1,0,4,5,5,10,No,Pubertal,Male
L5-KO35-M,2,3,0,0,5,14,5,19,24,No,Pubertal,Male
L5-KO56-F,1.455099778,2.910199557,2.078713969,0.623614191,0.415742794,0,6.444013304,1.039356984,7.483370288,No,Postpubertal,Female
L5-KO56-F,0,2.872875269,0.239406272,0.718218817,0.95762509,0,3.112281542,1.675843907,4.788125449,No,Postpubertal,Female
L5-KO56-F,0,0.972762646,0.972762646,0.324254215,0.648508431,0,1.945525292,0.972762646,2.918287938,No,Postpubertal,Female
L5-KO56-F,0,1.629106706,0,0,2.036383383,0,1.629106706,2.036383383,3.66549009,No,Postpubertal,Female
L5-KO56-F,0.235941801,3.539127015,0,0.471883602,0.707825403,0,3.775068816,1.179709005,4.954777821,No,Postpubertal,Female
L5-KO56-F,0,2.459016393,0.983606557,0.983606557,0,0,3.442622951,0.983606557,4.426229508,No,Postpubertal,Female
L5-KO56-F,0.474946569,1.424839706,0.237473284,0.949893137,0.949893137,0,2.137259558,1.899786274,4.037045832,No,Postpubertal,Female
L5-KO56-F,0,1.882766411,0,0.753106565,0.376553282,0,1.882766411,1.129659847,3.012426258,No,Postpubertal,Female
L5-KO56-F,0.461077384,3.688619073,1.613770845,1.383232152,1.383232152,0,5.763467302,2.766464305,8.529931607,No,Postpubertal,Female
L5-KO56-F,0,1.374727918,0.34368198,0.34368198,0.34368198,0,1.718409898,0.687363959,2.405773857,No,Postpubertal,Female
L5-KO56-F,0.547945205,3.561643836,1.643835616,1.369863014,0.547945205,0.547945205,5.753424658,2.465753425,8.219178082,No,Postpubertal,Female
